dumping histogram for a run of 30/10000 MAX iterations at histogram.txt
0		0
1		23
2		92001
3		66251
4		55971
5		35535
6		26456
7		18074
8		14197
9		10553
10		8860
11		6790
12		5951
13		4727
14		4210
15		3565
16		3147
17		2619
18		2434
19		2119
20		1982
21		1676
22		1562
23		1419
24		1238
25		1179
26		1084
27		1032
28		922
29		799
30		263624

total of 640000 values
